Training_ID,Student_ID,Course_Name,Training_Type,Training_Attendance,Training_Score,Feedback_Rating,Pre_Training_Score,Post_Training_Score,Training_Impact,Improvement
T00696,S0696,Cloud Computing,Technical,Yes,80.0,3.0,80.0,85.0,no,5.0
T00697,S0697,AI Fundamentals,Soft Skills,Yes,80.0,2.0,80.0,80.0,no,0.0
T00698,S0698,Web Development,Soft Skills,Yes,39.0,3.0,80.0,80.0,no,0.0
T00699,S0699,Cybersecurity,no,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00700,S0700,no,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00701,S0701,IoT Basics,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00702,S0702,no,no,Yes,89.0,6.0,43.0,80.0,no,37.0
T00703,S0703,AI Fundamentals,Technical,Yes,5.0,1.0,80.0,80.0,Improvement,0.0
T00704,S0704,Negotiation,Soft Skills,no,80.0,3.0,80.0,80.0,no,0.0
T00705,S0705,IoT Basics,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00706,S0706,Negotiation,no,Yes,80.0,3.0,48.0,39.0,Improvement,-9.0
T00707,S0707,Communication Skills,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00708,S0708,IoT Basics,no,No,80.0,6.0,80.0,77.0,no,-3.0
T00709,S0709,Data Science,Technical,No,80.0,2.0,80.0,62.0,No Improvement,-18.0
T00710,S0710,Python Programming,no,Yes,20.0,3.0,80.0,80.0,No Improvement,0.0
T00711,S0711,Python Programming,no,No,80.0,6.0,90.0,65.0,Improvement,-25.0
T00712,S0712,Leadership,Soft Skills,no,80.0,3.0,80.0,52.0,Improvement,-28.0
T00713,S0713,Leadership,Soft Skills,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00714,S0714,Python Programming,Soft Skills,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00715,S0715,Python Programming,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00716,S0716,Blockchain,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00717,S0717,Python Programming,Soft Skills,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00718,S0718,AI Fundamentals,Soft Skills,no,80.0,3.0,0.0,80.0,No Improvement,80.0
T00719,S0719,Data Science,Technical,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00720,S0720,Blockchain,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00721,S0721,Communication Skills,Soft Skills,Yes,5.0,3.0,80.0,32.0,no,-48.0
T00722,S0722,Negotiation,no,Yes,80.0,3.0,80.0,80.0,no,0.0
T00723,S0723,Cybersecurity,Soft Skills,No,80.0,3.0,43.0,80.0,no,37.0
T00724,S0724,IoT Basics,Technical,Yes,95.0,3.0,80.0,80.0,Improvement,0.0
T00725,S0725,no,Technical,No,0.0,6.0,80.0,40.0,no,-40.0
T00726,S0726,Python Programming,Soft Skills,Yes,80.0,3.0,80.0,36.0,No Improvement,-44.0
T00727,S0727,no,Soft Skills,No,80.0,3.0,80.0,80.0,no,0.0
T00728,S0728,Data Science,Soft Skills,No,80.0,4.0,80.0,80.0,Improvement,0.0
T00729,S0729,Web Development,no,no,80.0,3.0,80.0,80.0,no,0.0
T00730,S0730,IoT Basics,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00731,S0731,Negotiation,no,No,8.0,3.0,80.0,80.0,no,0.0
T00732,S0732,Data Science,Technical,No,80.0,2.0,80.0,59.0,no,-21.0
T00733,S0733,Blockchain,Technical,Yes,80.0,6.0,80.0,80.0,no,0.0
T00734,S0734,DevOps,Technical,Yes,79.0,3.0,80.0,80.0,Improvement,0.0
T00735,S0735,Negotiation,no,No,80.0,3.0,68.0,80.0,no,12.0
T00736,S0736,AI Fundamentals,Technical,No,30.0,3.0,60.0,80.0,no,20.0
T00737,S0737,Data Science,Soft Skills,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00738,S0738,DevOps,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00739,S0739,no,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00740,S0740,Negotiation,Technical,Yes,80.0,6.0,37.0,80.0,no,43.0
T00741,S0741,Data Science,Soft Skills,no,82.0,6.0,80.0,80.0,no,0.0
T00742,S0742,Communication Skills,Technical,no,81.0,3.0,26.0,39.0,no,13.0
T00743,S0743,Cloud Computing,Technical,Yes,80.0,2.0,80.0,80.0,Improvement,0.0
T00744,S0744,Leadership,no,Yes,18.0,3.0,28.0,58.0,no,30.0
T00745,S0745,Python Programming,Soft Skills,no,80.0,6.0,80.0,80.0,no,0.0
T00746,S0746,Negotiation,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00747,S0747,Blockchain,Technical,Yes,42.0,3.0,51.0,61.0,Improvement,10.0
T00748,S0748,Blockchain,Technical,Yes,80.0,6.0,18.0,80.0,no,62.0
T00749,S0749,Communication Skills,Technical,Yes,80.0,3.0,80.0,48.0,No Improvement,-32.0
T00750,S0750,AI Fundamentals,Technical,Yes,17.0,3.0,16.0,80.0,no,64.0
T00751,S0751,AI Fundamentals,Technical,Yes,80.0,3.0,92.0,22.0,Improvement,-70.0
T00752,S0752,AI Fundamentals,no,Yes,80.0,3.0,37.0,80.0,No Improvement,43.0
T00753,S0753,Data Science,Soft Skills,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00754,S0754,Communication Skills,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00755,S0755,IoT Basics,Technical,Yes,60.0,5.0,40.0,73.0,no,33.0
T00756,S0756,DevOps,no,Yes,80.0,6.0,80.0,32.0,Improvement,-48.0
T00757,S0757,Cybersecurity,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00758,S0758,AI Fundamentals,no,no,80.0,3.0,80.0,96.0,No Improvement,16.0
T00759,S0759,Blockchain,Soft Skills,Yes,80.0,4.0,42.0,80.0,no,38.0
T00760,S0760,Blockchain,no,Yes,80.0,3.0,32.0,80.0,Improvement,48.0
T00761,S0761,Communication Skills,Technical,No,80.0,3.0,77.0,80.0,No Improvement,3.0
T00762,S0762,AI Fundamentals,Technical,Yes,80.0,3.0,76.0,80.0,no,4.0
T00763,S0763,Communication Skills,Technical,Yes,80.0,3.0,80.0,24.0,Improvement,-56.0
T00764,S0764,Blockchain,Soft Skills,Yes,80.0,3.0,80.0,3.0,Improvement,-77.0
T00765,S0765,IoT Basics,Technical,No,80.0,1.0,80.0,80.0,no,0.0
T00766,S0766,Cloud Computing,no,Yes,80.0,3.0,80.0,80.0,no,0.0
T00767,S0767,Leadership,Technical,Yes,80.0,6.0,40.0,80.0,no,40.0
T00768,S0768,Communication Skills,Technical,no,0.0,6.0,80.0,80.0,no,0.0
T00769,S0769,Python Programming,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00770,S0770,Leadership,no,no,49.0,1.0,80.0,19.0,Improvement,-61.0
T00771,S0771,Leadership,Technical,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00772,S0772,Cybersecurity,no,No,80.0,1.0,24.0,80.0,no,56.0
T00773,S0773,Negotiation,Technical,Yes,80.0,3.0,80.0,88.0,Improvement,8.0
T00774,S0774,Cloud Computing,Soft Skills,no,80.0,3.0,80.0,49.0,no,-31.0
T00775,S0775,Data Science,Technical,no,80.0,6.0,56.0,80.0,No Improvement,24.0
T00776,S0776,no,Soft Skills,no,80.0,4.0,80.0,80.0,no,0.0
T00777,S0777,Blockchain,Soft Skills,No,80.0,6.0,80.0,21.0,Improvement,-59.0
T00778,S0778,Blockchain,Technical,no,80.0,5.0,94.0,80.0,no,-14.0
T00779,S0779,IoT Basics,Technical,No,80.0,3.0,96.0,80.0,no,-16.0
T00780,S0780,Web Development,no,No,73.0,5.0,80.0,80.0,Improvement,0.0
T00781,S0781,Python Programming,no,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00782,S0782,Blockchain,Soft Skills,Yes,80.0,2.0,80.0,80.0,No Improvement,0.0
T00783,S0783,Cloud Computing,Technical,No,55.0,6.0,20.0,93.0,Improvement,73.0
T00784,S0784,Data Science,Soft Skills,No,80.0,6.0,80.0,13.0,Improvement,-67.0
T00785,S0785,Cybersecurity,Soft Skills,Yes,29.0,6.0,80.0,80.0,Improvement,0.0
T00786,S0786,no,Soft Skills,Yes,80.0,4.0,59.0,80.0,Improvement,21.0
T00787,S0787,Data Science,no,No,99.0,3.0,80.0,16.0,Improvement,-64.0
T00788,S0788,Web Development,Technical,No,45.0,3.0,80.0,80.0,no,0.0
T00789,S0789,Python Programming,no,Yes,80.0,4.0,80.0,80.0,Improvement,0.0
T00790,S0790,Cybersecurity,Technical,Yes,80.0,3.0,58.0,35.0,no,-23.0
T00791,S0791,Cybersecurity,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00792,S0792,Web Development,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00793,S0793,Leadership,Soft Skills,Yes,80.0,6.0,75.0,80.0,No Improvement,5.0
T00794,S0794,Data Science,Soft Skills,no,80.0,3.0,80.0,80.0,no,0.0
T00795,S0795,Leadership,Soft Skills,no,80.0,6.0,80.0,80.0,no,0.0
T00796,S0796,Blockchain,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00797,S0797,IoT Basics,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00798,S0798,Web Development,Technical,Yes,80.0,2.0,80.0,72.0,no,-8.0
T00799,S0799,DevOps,no,no,80.0,2.0,80.0,80.0,Improvement,0.0
T00800,S0800,DevOps,Technical,No,90.0,6.0,80.0,80.0,Improvement,0.0
T00801,S0801,no,no,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00802,S0802,Web Development,Soft Skills,No,80.0,4.0,80.0,18.0,No Improvement,-62.0
T00803,S0803,Web Development,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00804,S0804,no,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00805,S0805,AI Fundamentals,no,No,82.0,3.0,80.0,80.0,no,0.0
T00806,S0806,Cybersecurity,Soft Skills,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00807,S0807,Cloud Computing,no,No,80.0,3.0,80.0,80.0,no,0.0
T00808,S0808,Communication Skills,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00809,S0809,DevOps,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00810,S0810,IoT Basics,no,Yes,100.0,2.0,80.0,80.0,No Improvement,0.0
T00811,S0811,no,Technical,Yes,80.0,6.0,80.0,80.0,no,0.0
T00812,S0812,Cloud Computing,Technical,No,80.0,3.0,80.0,31.0,no,-49.0
T00813,S0813,IoT Basics,Technical,Yes,55.0,1.0,80.0,80.0,Improvement,0.0
T00814,S0814,AI Fundamentals,Soft Skills,Yes,80.0,3.0,100.0,80.0,no,-20.0
T00815,S0815,Cybersecurity,Technical,Yes,41.0,3.0,80.0,80.0,no,0.0
T00816,S0816,DevOps,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00817,S0817,IoT Basics,Technical,Yes,80.0,1.0,80.0,80.0,no,0.0
T00818,S0818,Cybersecurity,no,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00819,S0819,no,Technical,no,80.0,3.0,80.0,80.0,no,0.0
T00820,S0820,Cybersecurity,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00821,S0821,IoT Basics,Soft Skills,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00822,S0822,Data Science,Technical,Yes,80.0,6.0,80.0,97.0,no,17.0
T00823,S0823,AI Fundamentals,no,No,80.0,6.0,47.0,80.0,no,33.0
T00824,S0824,Communication Skills,no,No,80.0,3.0,80.0,80.0,no,0.0
T00825,S0825,DevOps,Soft Skills,No,80.0,1.0,80.0,4.0,Improvement,-76.0
T00826,S0826,DevOps,no,Yes,80.0,6.0,72.0,80.0,no,8.0
T00827,S0827,Web Development,Soft Skills,Yes,85.0,3.0,80.0,80.0,no,0.0
T00828,S0828,AI Fundamentals,Technical,Yes,80.0,3.0,28.0,38.0,No Improvement,10.0
T00829,S0829,DevOps,Technical,No,80.0,3.0,17.0,80.0,no,63.0
T00830,S0830,Cybersecurity,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00831,S0831,no,no,No,80.0,6.0,80.0,80.0,no,0.0
T00832,S0832,Cloud Computing,Technical,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00833,S0833,Data Science,Soft Skills,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00834,S0834,Negotiation,Soft Skills,no,80.0,3.0,80.0,80.0,no,0.0
T00835,S0835,Cloud Computing,Soft Skills,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00836,S0836,Python Programming,Technical,no,3.0,5.0,80.0,80.0,no,0.0
T00837,S0837,Python Programming,no,Yes,80.0,6.0,74.0,80.0,Improvement,6.0
T00838,S0838,no,Technical,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00839,S0839,Data Science,Technical,no,80.0,3.0,80.0,80.0,No Improvement,0.0
T00840,S0840,no,Soft Skills,No,30.0,6.0,80.0,80.0,No Improvement,0.0
T00841,S0841,DevOps,Soft Skills,Yes,80.0,5.0,25.0,86.0,no,61.0
T00842,S0842,Communication Skills,Technical,Yes,80.0,6.0,80.0,41.0,Improvement,-39.0
T00843,S0843,no,Technical,Yes,28.0,1.0,80.0,80.0,no,0.0
T00844,S0844,AI Fundamentals,Soft Skills,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00845,S0845,Leadership,Soft Skills,Yes,80.0,3.0,65.0,80.0,no,15.0
T00846,S0846,AI Fundamentals,no,Yes,80.0,3.0,87.0,80.0,Improvement,-7.0
T00847,S0847,IoT Basics,Soft Skills,Yes,58.0,3.0,80.0,80.0,Improvement,0.0
T00848,S0848,no,Soft Skills,Yes,18.0,3.0,97.0,80.0,Improvement,-17.0
T00849,S0849,Blockchain,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00850,S0850,Leadership,Technical,No,80.0,5.0,91.0,80.0,Improvement,-11.0
T00851,S0851,no,no,No,80.0,6.0,20.0,80.0,Improvement,60.0
T00852,S0852,Cybersecurity,no,Yes,80.0,3.0,80.0,88.0,Improvement,8.0
T00853,S0853,Cybersecurity,Technical,Yes,72.0,3.0,80.0,80.0,No Improvement,0.0
T00854,S0854,AI Fundamentals,Soft Skills,No,93.0,3.0,80.0,80.0,no,0.0
T00855,S0855,Blockchain,Soft Skills,Yes,77.0,3.0,80.0,80.0,no,0.0
T00856,S0856,Blockchain,Technical,No,83.0,1.0,80.0,80.0,Improvement,0.0
T00857,S0857,Blockchain,no,no,80.0,3.0,0.0,80.0,no,80.0
T00858,S0858,Negotiation,Technical,Yes,80.0,4.0,80.0,80.0,No Improvement,0.0
T00859,S0859,no,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00860,S0860,AI Fundamentals,Soft Skills,Yes,90.0,6.0,80.0,80.0,Improvement,0.0
T00861,S0861,Blockchain,Technical,Yes,98.0,6.0,80.0,80.0,Improvement,0.0
T00862,S0862,Communication Skills,no,Yes,80.0,4.0,80.0,80.0,no,0.0
T00863,S0863,Data Science,Technical,No,80.0,3.0,52.0,76.0,no,24.0
T00864,S0864,IoT Basics,Soft Skills,no,17.0,4.0,49.0,80.0,no,31.0
T00865,S0865,Blockchain,no,Yes,84.0,3.0,3.0,87.0,no,84.0
T00866,S0866,IoT Basics,no,No,80.0,5.0,80.0,80.0,No Improvement,0.0
T00867,S0867,Blockchain,Technical,no,39.0,3.0,8.0,80.0,Improvement,72.0
T00868,S0868,Leadership,no,Yes,80.0,3.0,1.0,80.0,Improvement,79.0
T00869,S0869,Leadership,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00870,S0870,Cybersecurity,Technical,Yes,18.0,2.0,77.0,80.0,No Improvement,3.0
T00871,S0871,no,no,Yes,80.0,3.0,80.0,80.0,no,0.0
T00872,S0872,Communication Skills,Technical,no,57.0,3.0,80.0,80.0,Improvement,0.0
T00873,S0873,DevOps,Soft Skills,No,80.0,6.0,80.0,80.0,no,0.0
T00874,S0874,Blockchain,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00875,S0875,Negotiation,Technical,No,94.0,3.0,80.0,29.0,no,-51.0
T00876,S0876,Leadership,Soft Skills,No,80.0,4.0,79.0,80.0,Improvement,1.0
T00877,S0877,IoT Basics,Technical,no,80.0,3.0,80.0,80.0,No Improvement,0.0
T00878,S0878,Negotiation,Technical,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00879,S0879,Python Programming,Technical,Yes,80.0,5.0,80.0,80.0,No Improvement,0.0
T00880,S0880,Negotiation,Technical,Yes,31.0,5.0,80.0,54.0,no,-26.0
T00881,S0881,Cybersecurity,Soft Skills,No,39.0,6.0,80.0,80.0,Improvement,0.0
T00882,S0882,no,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00883,S0883,AI Fundamentals,Technical,Yes,80.0,6.0,15.0,80.0,Improvement,65.0
T00884,S0884,Communication Skills,Technical,Yes,80.0,3.0,39.0,80.0,no,41.0
T00885,S0885,Communication Skills,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00886,S0886,IoT Basics,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00887,S0887,Data Science,Technical,Yes,80.0,6.0,80.0,80.0,no,0.0
T00888,S0888,IoT Basics,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00889,S0889,Leadership,Soft Skills,Yes,80.0,3.0,80.0,2.0,Improvement,-78.0
T00890,S0890,Cloud Computing,Soft Skills,Yes,80.0,3.0,80.0,27.0,Improvement,-53.0
T00891,S0891,AI Fundamentals,Soft Skills,Yes,80.0,3.0,80.0,85.0,Improvement,5.0
T00892,S0892,Web Development,Technical,no,80.0,6.0,50.0,80.0,Improvement,30.0
T00893,S0893,Web Development,Soft Skills,no,80.0,3.0,80.0,90.0,No Improvement,10.0
T00894,S0894,Blockchain,Soft Skills,Yes,93.0,6.0,80.0,80.0,no,0.0
T00895,S0895,Cybersecurity,Technical,Yes,80.0,1.0,80.0,80.0,Improvement,0.0
T00896,S0896,Data Science,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00897,S0897,IoT Basics,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00898,S0898,Web Development,Technical,Yes,16.0,1.0,15.0,92.0,no,77.0
T00899,S0899,Cybersecurity,Technical,No,78.0,6.0,80.0,60.0,no,-20.0
T00900,S0900,Leadership,Technical,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00901,S0901,Data Science,Technical,no,80.0,5.0,80.0,80.0,Improvement,0.0
T00902,S0902,IoT Basics,Technical,Yes,80.0,1.0,80.0,80.0,Improvement,0.0
T00903,S0903,IoT Basics,Soft Skills,No,80.0,3.0,71.0,2.0,No Improvement,-69.0
T00904,S0904,Cloud Computing,Soft Skills,no,80.0,6.0,74.0,51.0,no,-23.0
T00905,S0905,DevOps,Soft Skills,Yes,80.0,3.0,80.0,85.0,no,5.0
T00906,S0906,Leadership,no,no,17.0,6.0,80.0,80.0,Improvement,0.0
T00907,S0907,Negotiation,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00908,S0908,Blockchain,Soft Skills,Yes,80.0,6.0,55.0,67.0,No Improvement,12.0
T00909,S0909,Data Science,Technical,Yes,80.0,6.0,38.0,70.0,no,32.0
T00910,S0910,no,Soft Skills,No,80.0,1.0,17.0,80.0,Improvement,63.0
T00911,S0911,Communication Skills,Technical,No,80.0,6.0,80.0,68.0,No Improvement,-12.0
T00912,S0912,Cloud Computing,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00913,S0913,no,Soft Skills,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00914,S0914,Blockchain,no,Yes,80.0,3.0,80.0,95.0,no,15.0
T00915,S0915,Python Programming,Soft Skills,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00916,S0916,Python Programming,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00917,S0917,Negotiation,Technical,Yes,80.0,3.0,97.0,80.0,No Improvement,-17.0
T00918,S0918,Cloud Computing,Technical,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00919,S0919,Leadership,Soft Skills,Yes,80.0,6.0,1.0,18.0,No Improvement,17.0
T00920,S0920,Cloud Computing,Technical,no,80.0,6.0,80.0,80.0,no,0.0
T00921,S0921,Data Science,Technical,No,90.0,3.0,79.0,80.0,no,1.0
T00922,S0922,Data Science,Soft Skills,No,80.0,6.0,90.0,80.0,Improvement,-10.0
T00923,S0923,Communication Skills,Soft Skills,No,80.0,6.0,80.0,4.0,no,-76.0
T00924,S0924,Data Science,no,No,80.0,6.0,80.0,80.0,no,0.0
T00925,S0925,Communication Skills,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00926,S0926,Web Development,Technical,Yes,80.0,6.0,82.0,80.0,No Improvement,-2.0
T00927,S0927,Cybersecurity,Soft Skills,No,22.0,3.0,80.0,80.0,Improvement,0.0
T00928,S0928,Leadership,no,Yes,51.0,6.0,80.0,80.0,No Improvement,0.0
T00929,S0929,IoT Basics,Soft Skills,Yes,80.0,6.0,80.0,80.0,no,0.0
T00930,S0930,Web Development,Technical,No,40.0,3.0,94.0,32.0,No Improvement,-62.0
T00931,S0931,Leadership,Technical,No,26.0,3.0,80.0,100.0,no,20.0
T00932,S0932,Data Science,Soft Skills,No,2.0,3.0,80.0,80.0,Improvement,0.0
T00933,S0933,AI Fundamentals,no,Yes,80.0,3.0,80.0,80.0,no,0.0
T00934,S0934,Data Science,no,No,80.0,5.0,80.0,80.0,No Improvement,0.0
T00935,S0935,Communication Skills,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00936,S0936,Web Development,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00937,S0937,Blockchain,no,No,80.0,6.0,45.0,80.0,Improvement,35.0
T00938,S0938,no,no,No,5.0,3.0,20.0,80.0,Improvement,60.0
T00939,S0939,Data Science,no,No,80.0,3.0,17.0,80.0,Improvement,63.0
T00940,S0940,Data Science,Soft Skills,No,80.0,4.0,20.0,80.0,no,60.0
T00941,S0941,Data Science,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00942,S0942,IoT Basics,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00943,S0943,IoT Basics,Soft Skills,Yes,80.0,6.0,32.0,80.0,Improvement,48.0
T00944,S0944,Python Programming,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00945,S0945,AI Fundamentals,Soft Skills,No,80.0,2.0,92.0,80.0,Improvement,-12.0
T00946,S0946,Leadership,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00947,S0947,Leadership,no,Yes,80.0,3.0,80.0,18.0,Improvement,-62.0
T00948,S0948,no,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00949,S0949,IoT Basics,Technical,No,80.0,6.0,80.0,80.0,no,0.0
T00950,S0950,IoT Basics,Soft Skills,Yes,80.0,2.0,80.0,72.0,Improvement,-8.0
T00951,S0951,AI Fundamentals,Technical,no,80.0,3.0,80.0,80.0,no,0.0
T00952,S0952,Web Development,Technical,Yes,80.0,3.0,80.0,10.0,No Improvement,-70.0
T00953,S0953,Blockchain,Soft Skills,No,80.0,1.0,49.0,80.0,Improvement,31.0
T00954,S0954,DevOps,Soft Skills,Yes,80.0,6.0,80.0,80.0,no,0.0
T00955,S0955,Python Programming,Soft Skills,No,80.0,3.0,42.0,80.0,Improvement,38.0
T00956,S0956,IoT Basics,no,Yes,80.0,3.0,80.0,21.0,Improvement,-59.0
T00957,S0957,Leadership,Soft Skills,No,3.0,3.0,80.0,80.0,No Improvement,0.0
T00958,S0958,Python Programming,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00959,S0959,Web Development,Soft Skills,No,42.0,5.0,80.0,80.0,no,0.0
T00960,S0960,IoT Basics,no,no,80.0,3.0,80.0,55.0,Improvement,-25.0
T00961,S0961,DevOps,Soft Skills,Yes,80.0,5.0,80.0,80.0,Improvement,0.0
T00962,S0962,Python Programming,Technical,Yes,18.0,2.0,80.0,80.0,Improvement,0.0
T00963,S0963,AI Fundamentals,Soft Skills,no,64.0,3.0,80.0,20.0,Improvement,-60.0
T00964,S0964,Cybersecurity,Technical,No,80.0,3.0,80.0,89.0,No Improvement,9.0
T00965,S0965,Web Development,no,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00966,S0966,Blockchain,no,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00967,S0967,no,no,Yes,5.0,3.0,80.0,80.0,no,0.0
T00968,S0968,AI Fundamentals,Technical,no,49.0,3.0,9.0,80.0,Improvement,71.0
T00969,S0969,DevOps,no,No,80.0,2.0,80.0,80.0,no,0.0
T00970,S0970,DevOps,Soft Skills,No,80.0,3.0,80.0,53.0,no,-27.0
T00971,S0971,Python Programming,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00972,S0972,Communication Skills,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00973,S0973,Data Science,Soft Skills,Yes,80.0,6.0,80.0,50.0,No Improvement,-30.0
T00974,S0974,Negotiation,Soft Skills,No,80.0,5.0,58.0,80.0,no,22.0
T00975,S0975,DevOps,Technical,Yes,3.0,3.0,80.0,80.0,no,0.0
T00976,S0976,Blockchain,Soft Skills,No,80.0,6.0,80.0,66.0,Improvement,-14.0
T00977,S0977,Python Programming,Technical,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00978,S0978,Communication Skills,no,no,80.0,3.0,80.0,42.0,no,-38.0
T00979,S0979,Communication Skills,Soft Skills,Yes,80.0,4.0,80.0,80.0,Improvement,0.0
T00980,S0980,Cybersecurity,no,Yes,80.0,3.0,43.0,80.0,no,37.0
T00981,S0981,DevOps,Soft Skills,Yes,87.0,3.0,80.0,82.0,Improvement,2.0
T00982,S0982,no,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00983,S0983,DevOps,no,Yes,80.0,6.0,80.0,80.0,no,0.0
T00984,S0984,Blockchain,no,no,64.0,6.0,80.0,80.0,no,0.0
T00985,S0985,no,Technical,Yes,34.0,3.0,80.0,80.0,no,0.0
T00986,S0986,AI Fundamentals,Technical,Yes,66.0,6.0,80.0,80.0,No Improvement,0.0
T00987,S0987,IoT Basics,no,Yes,80.0,2.0,80.0,44.0,Improvement,-36.0
T00988,S0988,DevOps,Technical,No,80.0,2.0,80.0,80.0,No Improvement,0.0
T00989,S0989,Web Development,Soft Skills,Yes,80.0,3.0,80.0,39.0,Improvement,-41.0
T00990,S0990,no,Technical,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00991,S0991,Data Science,Soft Skills,Yes,32.0,4.0,80.0,80.0,No Improvement,0.0
T00992,S0992,Blockchain,Soft Skills,No,80.0,6.0,86.0,80.0,Improvement,-6.0
T00993,S0993,Data Science,Soft Skills,Yes,80.0,1.0,72.0,80.0,no,8.0
T00994,S0994,IoT Basics,Technical,no,80.0,1.0,80.0,80.0,No Improvement,0.0
T00995,S0995,AI Fundamentals,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00996,S0996,Leadership,Technical,Yes,80.0,3.0,80.0,4.0,Improvement,-76.0
T00997,S0997,Data Science,Technical,Yes,80.0,3.0,80.0,68.0,No Improvement,-12.0
